"miRNA"	"4b31b50d-f2ba-4f7e-a49e-0331ea38674a.mirbase21.isoforms.quantification.txt"
"hsa-let-7a-2-3p"	62.820221
"hsa-let-7a-3p"	32.300276
"hsa-let-7a-5p"	32491.025233
"hsa-let-7b-3p"	24.415957
"hsa-let-7b-5p"	23043.067459
"hsa-let-7c-3p"	4.323659
"hsa-let-7c-5p"	1431.131107
"hsa-let-7d-3p"	297.060803
"hsa-let-7d-5p"	123.097113
"hsa-let-7e-3p"	5.595324
"hsa-let-7e-5p"	1005.632202
"hsa-let-7f-1-3p"	3.814994
"hsa-let-7f-2-3p"	0.762999
"hsa-let-7f-5p"	5373.79939
"hsa-let-7g-3p"	35.352271
"hsa-let-7g-5p"	522.908398
"hsa-let-7i-3p"	83.166852
"hsa-let-7i-5p"	438.215551
"hsa-miR-1"	6.612655
"hsa-miR-100-3p"	3.051995
"hsa-miR-100-5p"	15208.851803
"hsa-miR-101-3p"	8770.414985
"hsa-miR-101-5p"	2.797662
"hsa-miR-103a-2-5p"	0.508666
"hsa-miR-103a-3p"	14462.639141
"hsa-miR-106a-5p"	1.78033
"hsa-miR-106b-3p"	235.766578
"hsa-miR-106b-5p"	140.646082
"hsa-miR-107"	54.935903
"hsa-miR-10a-3p"	3.814994
"hsa-miR-10a-5p"	19028.677305
"hsa-miR-10b-3p"	7.121321
"hsa-miR-10b-5p"	10113.546915
"hsa-miR-1179"	0.254333
"hsa-miR-1180-3p"	15.005641
"hsa-miR-1185-5p"	0.254333
"hsa-miR-1193"	0.508666
"hsa-miR-122-3p"	3.814994
"hsa-miR-122-5p"	349.199043
"hsa-miR-1226-3p"	0.254333
"hsa-miR-1227-3p"	0.254333
"hsa-miR-1228-3p"	0.762999
"hsa-miR-1228-5p"	1.017332
"hsa-miR-1234-3p"	0.254333
"hsa-miR-1243"	0.254333
"hsa-miR-1245a"	0.254333
"hsa-miR-1247-3p"	19.329299
"hsa-miR-1247-5p"	29.248281
"hsa-miR-1248"	0.254333
"hsa-miR-1249"	2.543329
"hsa-miR-1251-5p"	1.271665
"hsa-miR-1254"	0.254333
"hsa-miR-1258"	0.254333
"hsa-miR-125a-3p"	6.103989
"hsa-miR-125a-5p"	559.532333
"hsa-miR-125b-1-3p"	2.034664
"hsa-miR-125b-2-3p"	14.242642
"hsa-miR-125b-5p"	1272.936057
"hsa-miR-126-3p"	2914.654789
"hsa-miR-126-5p"	212.113621
"hsa-miR-1262"	1.271665
"hsa-miR-1266-5p"	4.32366
"hsa-miR-1269a"	4.577991
"hsa-miR-127-3p"	1531.846929
"hsa-miR-127-5p"	345.129717
"hsa-miR-1270"	3.051995
"hsa-miR-1271-5p"	3.306327
"hsa-miR-1273h-3p"	0.254333
"hsa-miR-1277-3p"	0.762999
"hsa-miR-128-1-5p"	1.525997
"hsa-miR-128-3p"	154.125724
"hsa-miR-1284"	0.254333
"hsa-miR-1287-3p"	1.525997
"hsa-miR-1287-5p"	16.277305
"hsa-miR-1288-3p"	0.762999
"hsa-miR-129-5p"	1.017332
"hsa-miR-1291"	0.254333
"hsa-miR-1293"	0.762999
"hsa-miR-1294"	0.508666
"hsa-miR-1295b-5p"	0.508666
"hsa-miR-1296-5p"	4.069326
"hsa-miR-1301-3p"	8.138653
"hsa-miR-1304-3p"	0.508666
"hsa-miR-1304-5p"	0.254333
"hsa-miR-1306-3p"	1.271665
"hsa-miR-1306-5p"	7.629987
"hsa-miR-1307-3p"	787.923258
"hsa-miR-1307-5p"	216.182948
"hsa-miR-130a-3p"	60.02256
"hsa-miR-130a-5p"	0.762999
"hsa-miR-130b-3p"	15.768639
"hsa-miR-130b-5p"	21.109628
"hsa-miR-132-3p"	125.894776
"hsa-miR-132-5p"	1.525998
"hsa-miR-133a-3p"	4.069327
"hsa-miR-134-3p"	3.560661
"hsa-miR-134-5p"	900.592723
"hsa-miR-1343-3p"	0.762999
"hsa-miR-135a-5p"	2.288997
"hsa-miR-135b-3p"	0.508666
"hsa-miR-135b-5p"	32.300275
"hsa-miR-136-3p"	24.161624
"hsa-miR-136-5p"	65.36355
"hsa-miR-137"	8.647319
"hsa-miR-138-1-3p"	2.034663
"hsa-miR-138-5p"	11.190647
"hsa-miR-139-3p"	11.699314
"hsa-miR-139-5p"	57.224897
"hsa-miR-140-3p"	1145.00662
"hsa-miR-140-5p"	47.814582
"hsa-miR-141-3p"	20.092297
"hsa-miR-141-5p"	12.462311
"hsa-miR-142-3p"	3679.179424
"hsa-miR-142-5p"	181.085011
"hsa-miR-143-3p"	44724.182353
"hsa-miR-143-5p"	57.987898
"hsa-miR-144-3p"	0.508666
"hsa-miR-144-5p"	13.22531
"hsa-miR-145-3p"	36.623936
"hsa-miR-145-5p"	1562.875539
"hsa-miR-1468-5p"	6.612654
"hsa-miR-146a-3p"	2.288997
"hsa-miR-146a-5p"	185.917335
"hsa-miR-146b-3p"	123.097114
"hsa-miR-146b-5p"	768.59396
"hsa-miR-147b"	1.525998
"hsa-miR-148a-3p"	13303.135544
"hsa-miR-148a-5p"	16.022973
"hsa-miR-148b-3p"	137.84842
